OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.OpenHand, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,-0.03403769,0.03650266,0.1647216,-0.07860815,-0.9202793,0.3792963,-0.05514664
2,-0.01208323,0.02807025,0.02504969,0.5674181,0.2721063,0.623374,0.4641117
3,0.04040596,5.156155E-08,-4.544719E-08,0.08293856,0.01945437,0.05512988,0.9948384
4,0.03251679,5.113758E-08,1.293319E-08,-0.003213315,0.02186683,-0.2220149,0.9747927
5,0.0304639,-1.626921E-07,-7.92839E-08,-1.387779E-17,1.387779E-17,5.551115E-17,1
6,0.0006324522,0.02686615,0.01500195,0.4219787,-0.4782025,0.4221331,0.6442515
7,0.07420439,-0.005002201,0.0002337732,0.007006841,-0.03912375,0.08794935,0.9953317
8,0.04393007,-5.95675E-08,-1.83671E-07,0.04580838,0.002142254,-0.0459431,0.9978909
9,0.02869547,9.398158E-08,1.264975E-07,0.001850457,-0.0227825,-0.01340946,0.9996488
10,0.02282138,1.436515E-07,-7.651614E-08,1.040834E-17,-1.94289E-16,3.469447E-18,1
11,0.002177313,0.007119544,0.01631874,0.5412765,-0.4425202,0.460749,0.546723
12,0.07095288,0.0007788326,0.0009971861,-0.1672614,-0.07895869,0.06936778,0.9802945
13,0.04310849,9.950596E-08,6.704183E-09,0.01849256,0.01319235,0.05988611,0.9979467
14,0.03326605,1.320567E-08,2.167037E-08,-0.003327809,-0.02822515,-0.06631514,0.9973939
15,0.02589237,-9.984198E-08,2.035291E-09,1.163919E-17,5.60233E-17,0.04012563,0.9991946
16,0.0005134356,-0.006545123,0.01634769,0.5501435,-0.4955479,0.4298879,0.5166922
17,0.06587581,0.001785789,0.000693441,-0.05869612,-0.1018195,0.07249536,0.9904201
18,0.04069671,9.53471E-08,2.293473E-08,-0.002239726,3.930032E-06,0.03008105,0.999545
19,0.02874696,-1.008989E-07,-4.530683E-08,-0.0007213214,-0.01269266,0.04042039,0.9991019
20,0.02243024,-1.084613E-07,1.742856E-08,6.938894E-18,0,0,1
21,-0.002478151,-0.01898137,0.01521358,0.52394,-0.5840246,0.3267403,0.5269183
22,0.0628784,0.002844095,0.0003315112,-0.05961486,-0.135163,0.06913206,0.9866092
23,0.03021971,3.418319E-08,9.332872E-08,0.001896124,-0.0001315093,0.1064462,0.9943166
24,0.0181866,5.022017E-09,2.093455E-07,-0.00201019,-0.05207913,-0.07352567,0.9959306
25,0.01801794,2.00012E-08,-6.59746E-08,-7.222237E-35,-1.387779E-17,-5.20417E-18,1
26,-0.006059111,0.05628522,0.06006384,0.2027454,0.5942667,0.2494411,0.7372385
27,-0.04041555,-0.04301767,0.01934458,0.6235274,-0.6638086,-0.2937344,-0.2903305
28,-0.03935372,-0.07567404,0.04704833,0.6780625,-0.6592852,-0.2656834,-0.1870471
29,-0.03834014,-0.09098663,0.08257892,0.7367926,-0.634757,-0.1439357,-0.1830372
30,-0.031806,-0.08721431,0.1210154,0.7584072,-0.6393418,-0.1266781,-0.003659415



OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Model, EVRSkeletalReferencePose.OpenHand, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,0.03403769,0.03650266,0.1647216,0.07860815,-0.9202793,0.3792963,0.05514664
2,0.0158929,0.03720177,0.1296259,-0.03297982,0.6424522,0.1778963,-0.7446612
3,0.01139906,0.04961932,0.09143889,0.06261326,-0.6412219,-0.08199936,0.7603882
4,0.006059127,0.05628524,0.06006386,0.2027455,-0.5942666,-0.2494412,0.7372385
5,0.000902975,0.07483073,0.03645182,0.2027455,-0.5942666,-0.2494412,0.7372385
6,0.02901937,0.04476842,0.1355028,0.6025507,0.6470118,0.373282,-0.2810141
7,0.04255127,0.002261713,0.07599282,-0.6692773,-0.6046072,-0.3187169,0.2914406
8,0.0396634,-0.02512967,0.04176969,-0.6260549,-0.6480562,-0.305172,0.3081368
9,0.04041553,-0.04301761,0.01934458,-0.6235274,-0.6638085,-0.2937345,0.2903305
10,0.04164416,-0.05801681,0.00218853,-0.6235274,-0.6638085,-0.2937345,0.2903305
11,0.03416368,0.03017576,0.1479382,0.5696037,0.7148724,0.2372116,-0.328998
12,0.04315939,-0.01743052,0.09608618,-0.6817271,-0.6475742,-0.2843107,0.1872517
13,0.04317524,-0.05090264,0.06892078,-0.7118945,-0.6082059,-0.2695314,0.2250434
14,0.03935373,-0.07567403,0.04704833,-0.6780624,-0.6592852,-0.2656835,0.1870472
15,0.03962542,-0.09625024,0.03133336,-0.7039706,-0.6315466,-0.2579641,0.1975572
16,0.03507797,0.02042013,0.1576069,0.6043454,0.7175122,0.2057133,-0.2786122
17,0.04095789,-0.02992786,0.1154904,-0.6878712,-0.6831199,-0.1641255,0.1823269
18,0.04043606,-0.06573886,0.0961637,-0.7085148,-0.6617489,-0.160099,0.1856431
19,0.03834012,-0.09098659,0.0825789,-0.7367926,-0.634757,-0.1439358,0.1830372
20,0.03491441,-0.1107853,0.07260934,-0.7367926,-0.634757,-0.1439358,0.1830372
21,0.0345086,0.01220977,0.167464,0.649269,0.7099198,0.228292,-0.1494876
22,0.03872009,-0.04178508,0.1353904,-0.7294213,-0.6621237,-0.1694652,0.02860718
23,0.03673317,-0.07068235,0.1267747,-0.7957243,-0.5810416,-0.1641056,0.04777953
24,0.03180601,-0.08721431,0.1210154,-0.7584072,-0.6393417,-0.1266781,0.003659424
25,0.02909628,-0.1046707,0.1174689,-0.7584072,-0.6393417,-0.1266781,0.003659424
26,0.006059111,0.05628522,0.06006384,0.2027454,-0.5942667,-0.2494411,0.7372385
27,0.04041555,-0.04301767,0.01934458,-0.6235274,-0.6638086,-0.2937344,0.2903305
28,0.03935372,-0.07567404,0.04704833,-0.6780625,-0.6592852,-0.2656834,0.1870471
29,0.03834014,-0.09098663,0.08257892,-0.7367926,-0.634757,-0.1439357,0.1830372
30,0.031806,-0.08721431,0.1210154,-0.7584072,-0.6393418,-0.1266781,0.003659415



OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.BindPose, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,0.0001597873,-3.19245E-05,0.0006257087,0,1,0,0
2,0.01791379,0.02917817,0.0252984,-0.2763868,0.7730358,-0.1820292,0.5411944
3,-0.04040596,-5.156155E-08,4.544719E-08,6.098038E-05,-0.001371853,0.2463775,0.969173
4,-0.03251679,-5.113758E-08,-1.293319E-08,9.757275E-05,0.001402827,0.1533351,0.9881732
5,-0.0304639,1.626921E-07,7.92839E-08,6.938894E-18,1.444447E-34,2.081668E-17,1
6,0.001557223,0.02107324,0.01478686,-0.5507531,0.5395777,0.3514342,0.5310564
7,-0.07379761,-2.316186E-08,-9.14779E-08,0.001623471,-0.05288696,0.2414038,0.9689811
8,-0.04328668,4.357846E-08,1.515487E-07,-8.592637E-05,0.005041468,0.1847621,0.9827703
9,-0.02827519,-3.048054E-08,-1.298488E-07,3.136136E-05,-0.001165923,0.07645763,0.9970722
10,-0.02282138,-1.436515E-07,7.651614E-08,6.938894E-18,1.387779E-17,-2.775558E-17,1
11,-0.002177313,0.007119544,0.01631874,-0.5334234,0.4729876,0.4197373,0.5617498
12,-0.07088561,1.090071E-07,-3.084328E-09,-1.767391E-16,-0.0001854925,0.2291626,0.9733881
13,-0.04310849,-1.29195E-07,2.156193E-08,9.328069E-05,-0.003688209,0.1573956,0.9875287
14,-0.03326598,3.265602E-08,-1.536071E-08,-0.0001073973,0.004125364,0.1412766,0.9899616
15,-0.02589237,9.984198E-08,-2.035291E-09,-8.673617E-19,-6.071532E-18,-5.266215E-36,1
16,-0.0005134356,-0.006545123,0.01634769,-0.5166922,0.4298879,0.4955479,0.5501435
17,-0.06597489,-9.740257E-09,4.879422E-09,-0.0009013045,-0.04095693,0.2203693,0.9745559
18,-0.0403312,-9.808473E-10,-9.096778E-10,-7.313708E-05,0.002531439,0.1338299,0.9910011
19,-0.02848878,3.487734E-09,7.339703E-08,0.0001986586,-0.004263068,0.1353549,0.990788
20,-0.02243024,1.084613E-07,-1.742856E-08,5.77779E-34,6.938894E-18,-8.326673E-17,1
21,0.002478151,-0.01898137,0.01521358,-0.4857576,0.3467464,0.6150161,0.5153269
22,-0.06285566,1.673586E-08,-2.21746E-08,0.003942189,0.0281641,0.1103077,0.9934905
23,-0.02987425,-3.982057E-08,8.708328E-08,0.0003826441,-0.01145603,0.1325229,0.9911137
24,-0.01797869,1.00861E-07,-9.401077E-08,-0.0005384765,0.01270246,0.1085811,0.9940063
25,-0.01801794,-2.00012E-08,6.59746E-08,4.163336E-17,2.775558E-17,-8.326673E-17,1
26,-0.03928085,0.06008116,-0.0844918,-0.04503726,-0.5691066,0.04861432,0.8195889
27,-0.01823281,0.03727831,-0.1489557,-0.597228,-0.3123255,-0.2095554,0.7084193
28,-0.01256069,0.007871133,-0.1546902,-0.6470613,-0.2711714,-0.2211408,0.6774028
29,-0.01786923,-0.02323769,-0.1422353,-0.7216289,-0.262352,-0.2374145,0.5950273
30,-0.01600804,-0.04565192,-0.1192801,-0.7390304,-0.2654839,-0.3489999,0.511421



OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Model, EVRSkeletalReferencePose.BindPose, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,0.0001597873,-3.19245E-05,0.0006257087,-6.123234E-17,1,-6.123234E-17,3.749399E-33
2,-0.017754,0.02914625,-0.02467269,-0.1820292,0.5411944,0.2763868,-0.7730358
3,-0.0283177,0.05437328,-0.05441571,0.04274769,-0.5704363,-0.07762472,0.8165473
4,-0.03928085,0.06008116,-0.0844918,-0.04503724,-0.5691067,0.04861432,0.8195889
5,-0.0498674,0.05609209,-0.1127772,-0.04503724,-0.5691067,0.04861432,0.8195889
6,-0.001397436,0.02104131,-0.01416115,0.3514342,0.5310564,0.5507531,-0.5395777
7,0.0111998,0.0373568,-0.08502159,-0.4969838,-0.4591768,-0.3839648,0.6282791
8,-0.001070029,0.03848532,-0.1265175,-0.5713777,-0.3562411,-0.2638121,0.6906685
9,-0.01823281,0.03727832,-0.1489557,-0.5972281,-0.3123255,-0.2095554,0.7084194
10,-0.03459765,0.03554045,-0.1647667,-0.5972281,-0.3123255,-0.2095554,0.7084194
11,0.002337101,0.00708762,-0.01569303,0.4197373,0.5617498,0.5334234,-0.4729876
